,Correct??,sentiment,content
5131,,hate,Infamous should have arrived today. But it didn't...
7251,yes,hate,God I HATE scary movies. They are not fun at all. I'm such a wimpy.
14620,,hate,@caniszczyk Agreed! Though Eclipse apps hinder collecting the heap dump by catching OOME. Had to muck about in JConsole
8473,yes,hate,ScREW MY PHONE. ITS BROKEN. DONT BOTHER TEXTING.
35921,,hate,"@kryanth heh, you seem to have a complex about your iPhone jealousy. This self-denial is harmful! Just let it out."
13817,,hate,I have had to yield my computer to the Webkinz Fan Club...
16644,,hate,Windows updates suck. There are so freaking many of them.
12256,yes,hate,"Ugh, i hate waiting in airports. I couldn't find a seat near an outlet either."
4029,,hate,@KinanLW I live in the Philippines. &gt;.&lt; and honestly i wanna live somewhere with snow!!
17312,,hate,I have had the William Shatner version of Rocket Man in my head for 3 days now. It's fucking distracting
18739,,hate,o damn i just accidentally listened to rick ross
21764,yes,hate,via @uhmmm: Christopher Moore &quot;You Suck&quot; - hmm tja.. sucks
16642,,hate,Boring starting work weekend soon................ 1st need to get a Tim Coffee so I can make it through this damn night shift........
31200,,hate,@mahmood *cough* star trek *cough*
8270,,hate,Shit. My friend's in such a state and I don't know how to help him. Nothing I say seems to be helping and I wish I knew what to say
14851,yes,hate,its raining! boo
4180,,hate,Seems like everyone I know is asking for computer help...   kill me now
17013,,hate,"I'm so sick, it's ridiculous."
5988,,hate,i have geographie next  and I HATE IT!!!!!!!
17156,,hate,Struggling...selfishness and jealousy doesn't get you any further in life... ohh myyy
28053,,hate,Watching my girlfriend get out the showe  with her lime green towel .. IM BAD!!!!   Mohawk Kidd
5793,,hate,@Cheapflights_uk  o2 - train from Bristol to London. It's terrible - and no wifi
1813,,hate,woke up from bad dream.  grrrr
27575,,hate,@IrvdaRealdeal: I will press that ignore button
8478,,hate,"I want to shoot Viva Hate... this is only the second time since I got my new camera I've had a chance, and the other was pitch black"
8525,,hate,at f***** work  .... want somebody to come ???
3490,,hate,sick of having constant bad dreams  grr
17338,,hate,"@Spidersamm ohh yeahh (: i'm probs gonna be a loner to start with, thanks to the person i was gonna go with be a bitch"
12087,,hate,#BGT  Piers shouldn't have buzzed when the little girls were singing
1289,,hate,But why do I have to spend it in the office
16350,,hate,"Musically, these headphones are awesome. For staying in my ear... not so good."
29639,,hate,@official_flo well thats not nice... hope ur all good now
5859,,hate,just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!
20780,,hate,@bridgetmcmanus go into an anti-gravity chamber then you can tell gravity to suck it.
14316,,hate,I think the UPS web site hates me now. Still no Brewing supply package.  Held hostage at work by slow UPS delivery
10175,,hate,Hairdye patch test has just smeared all over my WHITE duvet cover  fucking cunts. &lt;3
13714,,hate,@simplyvanessa why you never answer me..  wath i say to you
7272,,hate,@celticfish this is a travesty
11259,,hate,ugh! nothing to do in the valley  Seriously gotta move out of here!!!
13957,,hate,I was waitin' so many new and good songs about the end but I didnt like it so much
17567,,hate,@thehypercube - touched a real live Cube in Hamilton. Dealership closed - couldn't sit in it though
18848,,hate,"@niqa86 Yes bb  There are actually 2 of them, but the other one I don't really give a shit about."
31910,,hate,i hate i hate i hate i hate i hate i hate mother's day.
24978,,hate,@hesa it's definitely worth it; art not withstanding  I hate moving; and hate packing even more..
8808,,hate,Ready to kill myself  i hate history
4333,,hate,"super late for work, and got an earful from the PSYCHOPATH. GRRRR! Day, please get better"
25842,,hate,Just saw a male Baltimore oriole at our suet feeder and something enjoyed a lot of thistle from our new thistle feeder early this a.m.
11426,,hate,I hate tomtom. City traffic sucks
841,,hate,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
8821,,hate,and this terrible cartoon that's supposed to be mexican.
13717,,hate,my dads being an ass.....
17163,,hate,"@thatgirlonline Dude you're always going to midnight screenings! xD. I wish I lived in a city. Well, I do (until tmrw!) but it's rubbish"
5534,,hate,"@charlej47's going to Disney World, lucky bitch."
10757,,hate,@dougiemcfly me too. shit.
23703,,hate,@GeekWearsPrada Have you been going to the Trop for the last 5 years?  No more games for you!
5470,,hate,I HATE FLORISTS  No rose for cassadee tomorrow now =/ fricken fag florist people ={ hmm..need something else...hmm...
33357,,hate,@gnxmusic But I am with you... I hate doing it... can't we just make music and magically not have to worry about money  awe... sigh...LOL
3346,,hate,i'm sick of waking up and feeling exhausted
11849,,hate,@theECA i think that violates my noncompete
1644,,hate,@digicho I'm inclined to think it's stupid.
18781,,hate,@TJmodeling That sucks majorly...hhhmmmnnn...I'm thinking...I would've said the self tanner or a really good concealer...I'm stuck
20774,,hate,Bored... Some vector shit... Off to work after this class..
5843,,hate,@RobbiedaKid no I was too slow  I hate getting the trailhead then not getting in.
8405,,hate,hut myself in the face with a hammer earlier by accident  obviously it hurts.
7130,,hate,why the hell is it raining!! i hate the rain.
33830,,hate,@YasmineGalenorn  I kinda want to smack that darn skeleton though.
18059,,hate,God is a huge teaser
15147,,hate,@ChuckQuartz Oui mademoiselle. You can barely turn around these days without bumping into one.
3937,,hate,@luketurcotte Not having Hulu in Germany sucks
13231,,hate,texting my friends and being bored...   gosh i hate rain!!
8264,,hate,sometimes i got tired dealing with my own dilemmas..
2935,,hate,"Think it may be time for a  lemsip soon, having a cold really sucks"
4224,,hate,Can I get some gd news for gods sake
3758,,hate,@tweetie Why do I have to enter my registration details every time I update?
19300,,hate,@jessicagee7 i have restricted driving priviledges...  and i didn't even do anything. stupid double standards
37988,,hate,"i hate snoring. remind me if my future husband ever snores, we're getting a divorce."
4229,,hate,What a burden. Abit of a fail lunch with Dan
28545,,hate,they tryna get me 2 sing on mic n i said NO NO NOOOOOOOO
18039,,hate,My head hurts because that air freshner is the most horriblel scent ever.. Im super grossed out!!!!
14668,,hate,im so not feelinq this huqe ass pimple smack in the middle of my doom. it aint riqht man
12622,,hate,On the subject of frosty beer - My bloody fridge has conked and my beer is warm
22876,,hate,"Buffett Lambastes Bankers, Insurers for ï¿½Greed,ï¿½ ï¿½Stupidityï¿½ http://is.gd/wyAB"
11232,,hate,"Phone disconnects my internet. Right in the middle of an uber.  Also, first Tweet from inside of Steam."
32931,,hate,&quot;you think yo shit don't smell? but you are mrs. P-u&quot; Lil Wayne sounds the same in ALL his songs
3403,,hate,in the mailbox already for 2 hours
14663,,hate,I feel like poop. I hate being sick
10197,,hate,anyone have tickets to the mtv movie awards? some guy scammed me
6979,,hate,@Devotfeige man that sucks.
7873,,hate,http://twitpic.com/66xlm -  hate when my PARKED car gets hit
13222,,hate,@l2ichal2d that's a given bitch cuz ill be there  me &gt; vegas... actually not
12139,,hate,@mmsanwar I hate how I won't see you ever again and especially next week because I won't have anyone to go yum cha with
37077,,hate,@Carolina_G  ur a poopy head
2088,,hate,So damn tired! Another long day trw!
9674,,hate,Left &quot;Up&quot; due to out-of-focus projection.   Hopefully my complaints to theater management will get it fixed for everyone else still there.
17400,,hate,"Okay, so the only reason I'm not buying this app is because I hate EA and all that it stands for. SimCity rocks though.  http://is.gd/JpMM"
11744,,hate,The new resigned cricinfo : http://tinyurl.com/mxlcuvI hate change
16906,,hate,#whyareyoustillhere One Tree Hill!!! [[ They cancelled my shows The Game &amp; Everybody Hates Chris n dont NOBODY WATCH U N-E-MORE!!!  ]]
1483,,hate,"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard"
4824,,hate,@BrittanyASnow omgsh i know  i'm dealing with that rite now. its no fun!
26675,,hate,@sway_sway_baby mighty boosh kicks arse
25912,,hate,"I woke up at 5:45. Didn't have a full bladder, wasn't sick... And to top it off, I went for a run. Now I wanna go back to bed"
23285,,hate,gooooodnight  i fully gave up on my english. pride and prejudice. love the movie HATE the book ;)
2075,,hate,FUCKSAKE i shouldn't smoke so much stuff.
9999,,hate,Wishing I could kidnap @candrews from work
3124,,hate,Hates headaches! Maybe I'm not ready to rock
596,,hate,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes
5599,,hate,ive very picky about what i put in my mouth. i hate onions. they make me cry  )
37126,,hate,It's agreed if i find out who this girl was I'll punch her from everybody  xxx
9269,,hate,Stupid idiot who ran a stop sing and almost killed me and my car!
8398,,hate,John making me wear a mask and gloves at work cause I'm sick. Says he doesn't want to catch swine flu.  http://yfrog.com/02mxjj
3792,,hate,@GarethCliff Oh stop boasting already.  I've got a horrible piece o' crap cellphone.  *pulls a tongue*
16602,,hate,@velvetella Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.
3475,,hate,"Sick, sick, sick. This sucks. i can't even breathe properly"
4334,,hate,@jojeda I'm a minute in and I want to strangle the used car salesman doing the presentation. Is he related to the ShamWOW guy?
37577,,hate,@amiemccarron yes but they hate it when we do it...silly boys
19900,,hate,@juniper73 oh that sucks  Tell your DH to act like a grown up maybe? I'd be stressed too
38380,,hate,@MandyBookLover Hi  Yes wasn't she absolutely terrible! How on earth does she hear a good tune from her ears? Lol
7709,,hate,"I'm really getting sick ugh Fuckin nursing homes! Laying in bed, might go run later, watch some more movies with Austin. Sara &amp; Sami left"
11103,,hate,just finished playing mahjong. I lost $38 to Mag and Weisheng!
4054,,hate,ugh damn! my usual babysitters graduation is on Wednesday and I just got a meeting request from my boss during her graduation
13083,,hate,@19fischi75 dont think me ugly - but tha dumb ass is lookin a lill betta - an he know it!
31094,,hate,"@etniqminerals though I have to admit that seems less &amp; less tempting. who has time, when there are more complete packages to be had?"
2525,,hate,@upcomingpixar Too bad we're in Sweden where Up isn't up on the theaters  here until October
12416,,hate,ok so this eye doctor guy is taking forever and i'm sitting in a cold room by myself...what? A jerk!
39377,,hate,"@fergmaster Sons of bitches, why couldn't they put them on the releases we already bought"
17103,,hate,errr....I don't want to go sit in the heat and watch a high school graduation.
9844,,hate,"@BretWolfe its a travesty, no? and, the people who are doing this said they'd THINK about involving joss whedon!!!!"
12396,,hate,@RawrEli Aww that sucks
17120,,hate,Pissed at you @KatieHanrahan  http://myloc.me/21CU
30611,,hate,@amilliemills neva mind ya friend had called me jealous and i wanted to kno of what literally of what but its ova  is my tude now
2316,,hate,Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?
30192,,hate,@PRGabbi Y?!?!?!? i would rather punch someone
